"id"	"VerbLoc"	"LocID"	"Lat"	"Long"	"LatLongP"	"CoordProto"	"ElevMin"	"ElevMax"	"Country"	"CountryCod"	"Munici"	"Provin"
16	"GROTTA MERAVIGLIOSA DI LAZZARO JERKO OPICINA ITALY"	"MERAVIGL"	45,688	13,7888	"NA"	"NA"	322	322	"ITALY"		"OPICINA"	"TRIESTE"
17	"GROTTA MERAVIGLIOSA DI LAZZARO JERKO OPICINA ITALY"	"MERAVIGL"	45,688	13,7888	"NA"	"NA"	322	322	"ITALY"		"OPICINA"	"TRIESTE"
18	"VODNA JAMA V LOZI"	"VODNAJAM"	45,717144	14,123712	"NA"	"NA"	596	596	"SLOVENIA"		"RAKULIK"	"POSTOJNA"
19	"TREBICIANO CAVE"	"TREBICGR"	45,685327	13,833536	0,001	"Georeferenced at site location"	357	357	"ITALY"		"TRIESTE"	"TRIESTE"
20	"CUEVA A SUL"	"CUEVASUL"	43,37499	-4,83314	0,001	"Georeferenced at site location"	420	420	"SPAIN"		"EL MAZUCO"	"ASTURIA"
21	"SPRING DEBAJO DE LAS CUEVAS DE DEBODES"	"DEBODESP"	43,37748	-4,90111	0,001	"Georeferenced at site location"	117	117	"SPAIN"		"DEBODES"	"ASTURIA"
22	"CUEVA DE LA MARNIOSA"	"MARNIOSA"	43,25409	-4,7079	0,001	"Georeferenced at site location"	973	973	"SPAIN"		"TRESVISO"	"CANTABRIA"
23	"NACIMIENTO. CUEVA DEL"	"NACIMICA"	43,2464091	-4,6746317	0,100	"Nearest locality"			"SPAIN"		"TRESVISO"	"CANTABRIA"
24	"CUEVA DEL AGUA PRES DE TRESVISO"	"TRESVISO"	43,2576	-4,66839	0,100	"Nearest locality"			"SPAIN"		"TRESVISO"	"CANTABRIA"
25	"SPRING E. DE LA CARRETERA TRUBIA-PUERTO DE VENTANA (SP)"	"ENTRAGSP"	43,17868	-6,0854	0,010	"Nearest locality"	600	600	"SPAIN"		"ENTRAGO"	"ASTURIA"
26	"CARRETERA LOCAL A CALEAO 1KM COBALLES"	"COBALLE2"	43,1847	-5,38804	0,001	"Georeferenced at site location"	540	540	"SPAIN"		"CASO"	"OVIEDO"
27	"RIO NALON PENDONES"	"PENDONES"	43,13238	-5,24747	0,001	"Georeferenced at site location"	799	799	"SPAIN"		"CASO"	"OVIEDO"
28	"RIO CALEAO"	"COBALLE1"	43,18619	-5,38696	0,001	"Georeferenced at site location"	516	516	"SPAIN"		"CASO"	"OVIEDO"
29	"CARRETERA LOCAL A CALEAO 1KM COBALLES"	"COBALLE2"	43,1847	-5,38804	0,001	"Georeferenced at site location"	540	540	"SPAIN"		"CASO"	"OVIEDO"
30	"PUENTE CARRETERA A TARNA LA FOZ"	"LAFOZ"	43,14939	-5,27504	0,001	"Georeferenced at site location"	687	687	"SPAIN"		"CASO"	"OVIEDO"
31	"RIO NALON PENDONES"	"PENDONES"	43,13238	-5,24747	0,001	"Georeferenced at site location"	799	799	"SPAIN"		"CASO"	"OVIEDO"
32	"CONCHA DE ARTEDO ARTEDO"	"CONCHA"	43,55978	-6,19003	0,001	"Georeferenced at site location"	45	45	"SPAIN"		"CUDILLERO"	"ASTURIAS"
33	"RIO SELLA FRIES"	"FRIES"	43,42265	-5,08772	0,001	"Georeferenced at site location"	11	11	"SPAIN"		"CANGAS DE ONIS"	"OVIEDO"
34	"CUEVA CALDERON"	"CALDERSP"	42,8333	-4,8333	"NA"	"NA"			"SPAIN"		"VELILLA DEL RIO CARRION"	"PALENCIA"
35	"SELLA RIVER (AMIEVA 929 M)"	"SELLARAM"	43,25	-5,0667	0,100	"Nearest locality"			"SPAIN"		"AMIEVA"	"ASTURIA"
36	"CUEVA DEL OSO"	"DELOSOCA"	43,29239	-3,965444	0,001	"Georeferenced at site location"	195	195	"SPAIN"		"PUENTE VIESGO"	"CANTABRIA"
37	"COVA DEL INFIERNO"	"INFIERNO"	43,3083	-5,05504	0,100	"Nearest locality"			"SPAIN"		"COVADONGA"	"ASTURIA"
38	"CAPTATED RESURGENCE AL LADO O. DE LA CARRETERA LOCAL A CALEAO 0.5 KM S. DE COBALLES"	"CALEAOS1"	43,1893	-5,38134	0,001	"Georeferenced at site location"	542	542	"SPAIN"		"COBALLES"	"ASTURIA"
39	"SMALL RESURGENCE AL LADO O. DE LA CARRETERA LOCAL A CALEAO 1 KM S. DE COBALLES"	"CALEAOS2"	43,18655	-5,38369	0,001	"Georeferenced at site location"	545	545	"SPAIN"		"COBALLES"	"ASTURIA"
40	"SPRING O. DEL PUENTE CARRETERA A TARNA"	"CASOSP"	43,15089	-5,27777	0,001	"Georeferenced at site location"	731	731	"SPAIN"		"CASO"	"ASTURIA"
41	"RIO DE ALLER"	"RDEALLER"	43,09238	-5,57416	0,001	"Georeferenced at site location"	691	691	"SPAIN"		"CASOMERA"	"ASTURIA"
42	"RIO DE NUEVA"	"RDENUEVA"	43,44709	-4,93789	0,001	"Georeferenced at site location"	31	31	"SPAIN"		"NUEVA"	"ASTURIA"
43	"RIO FUENTE SANTA"	"RFUSANTA"	43,34644	-5,48617	0,001	"Georeferenced at site location"	254	254	"SPAIN"		"NAVA"	"ASTURIA"
44	"RIO NALON PENDONES"	"RNALONPE"	43,13081	-5,24629	0,001	"Georeferenced at site location"	660	660	"SPAIN"		"PENDONES"	"ASTURIA"
45	"RIO SELLA FRIES"	"RSELLAFR"	43,4174	-5,09011	0,001	"Georeferenced at site location"	19	19	"SPAIN"		"FRIES"	"ASTURIA"
46	"RIO SELLA RIBOTA"	"RSELLAR"	43,1399	-5,04989	0,001	"Georeferenced at site location"	572	572	"SPAIN"		"RIBOTA"	"LEON"
47	"RIO SELLA TORNIN"	"RSELLATO"	43,32122	-5,12997	0,001	"Georeferenced at site location"	90	90	"SPAIN"		"TORNIN"	"ASTURIA"
48	"GOUFFRE TORCA CASTIL 15"	"TORCASTI"	43,2329	-4,74799	0,100	"Nearest locality"	1009	1009	"SPAIN"		"SOTRES"	"ASTURIA"
49	"RIO CARES CAMARMENA"	"RCARESCA"	43,25707	-4,83083	0,001	"Georeferenced at site location"	215	215	"SPAIN"		"PREGUELES"	"ASTURIA"
50	"REGION DE COIMBRA"	"RCOIMBRA"	40,2115	-8,4292	1,000	"Nearest locality"			"PORTUGAL"		"COIMBRA"	"COIMBRA"
51	"RIO YUSO BARNIEDO DE LA REINA"	"YUSOREIN"	43,0215	-4,86578	0,001	"Georeferenced at site location"	1177	1177	"SPAIN"		"PORTILLA DE LA REINA"	"LEON"
52	"CUEVA CALDERON"	"CALDERSP"	42,8333	-4,8333	"NA"	"NA"			"SPAIN"		"VELILLA DEL RIO CARRION"	"PALENCIA"
53	"RIO CURUENO"	"RCURUENO"	42,88376	-5,39526	0,001	"Georeferenced at site location"	1045	1045	"SPAIN"		"VALDEPIELAGO"	"LEON"
54	"RIO ESLA"	"RIOESLA"	42,93864	-5,07506	0,001	"Georeferenced at site location"	1089	1089	"SPAIN"		"LAS SALAS"	"LEON"
55	"RIO TORIO FELMIN"	"RIOTORIO"	42,91391	-5,54221	0,001	"Georeferenced at site location"	1085	1085	"SPAIN"		"FELMIN"	"LEON"
56	"RIO YUSO PORTILLA DE LA REINA"	"RIOYUSO"	43,01785	-4,86788	0,001	"Georeferenced at site location"	1200	1200	"SPAIN"		"PORTILLA DE LA REINA"	"LEON"
57	"RIO VEZ ABOIM DAS CHOCAS"	"ABOIM"	41,91711	-8,44715	0,001	"Georeferenced at site location"	62	62	"PORTUGAL"		"ABOIM DAS CHOCAS"	"NORTE"
58	"PUITS DE PONTE DA BARCA"	"PTEBARCA"	41,8081	-8,41881	0,100	"Nearest locality"			"PORTUGAL"		"PONTE DA BARCA"	"VIANA DO CASTELLO"
59	"STATION 5 PUITS VILLA DO CONDE"	"W05CONDE"	41,3529	-8,74078	0,010	"Nearest locality"			"PORTUGAL"		"VILLA DO CONDE"	"PORTO"
60	"STATION 6 PUITS VILLA DO CONDE"	"W06CONDE"	41,3529	-8,74078	0,010	"Nearest locality"			"PORTUGAL"		"VILLA DO CONDE"	"PORTO"
61	"DEUX PUITS TRES PROCHES A REIGADA"	"REIGADAW"	40,8044	-6,94806	0,100	"Nearest locality"			"PORTUGAL"		"REIGADA"	"GUARDA"
62	"TUNNEL DELS SUMIDORS VALLADA"	"SUMIDORS"	38,88048	-0,68871	0,001	"Georeferenced at site location"	516	516	"SPAIN"		"VALLADA"	"VALENCIA"
63	"RIO CABRIEL COFRENTES"	"CABRIEL"	39,24954	-1,09382	0,001	"Georeferenced at site location"	332	332	"SPAIN"		"COFRENTES"	"VALENCIA"
64	"RIO CAUTABAN TEJARES ABARCA JARAFUEL"	"CAUTAB"	39,1438	-1,04686	0,001	"Georeferenced at site location"	407	407	"SPAIN"		"JARAFUEL"	"VALENCIA"
65	"RIO TAJO TRILLO"	"TRILLO"	40,69067	-2,58333	0,001	"Georeferenced at site location"	732	732	"SPAIN"		"TRLLO"	"GUADALAJARA"
66	"RIO ARGONGENA TERESA DE COFRENTES"	"ARGONGE"	39,10269	-1,041	0,001	"Georeferenced at site location"	479	479	"SPAIN"		"TERESA DE COFRENTES"	"VALENCIA"
67	"RIO DE ALBENTOSA ALBENTOSA"	"ALBENTOS"	40,12242	-0,76379	0,001	"Georeferenced at site location"	875	875	"SPAIN"		"ALBENTOSA"	"TERUEL"
68	"FUENTE EL MEREMILLO GESTALGAR"	"MEREMIL"	39,597661	-0,84881	0,001	"Georeferenced at site location"	226	226	"SPAIN"		"GESTALGAR"	"VALENCIA"
69	"RIO CASCANTE DEL RIO 2"	"CASCAN2"	40,20431	-1,12963	0,001	"Georeferenced at site location"	913	913	"SPAIN"		"CASCANTE DEL RIO"	"TERUEL"
70	"RIO DE ALBENTOSA ALBENTOSA"	"ALBENTOS"	40,12242	-0,76379	0,001	"Georeferenced at site location"	875	875	"SPAIN"		"ALBENTOSA"	"TERUEL"
71	"FUENTE EL MEREMILLO GESTALGAR"	"MEREMIL"	39,597661	-0,84881	0,001	"Georeferenced at site location"	226	226	"SPAIN"		"GESTALGAR"	"VALENCIA"
72	"TUNNEL DELS SUMIDORS VALLADA"	"SUMIDORS"	38,88048	-0,68871	0,001	"Georeferenced at site location"	516	516	"SPAIN"		"VALLADA"	"VALENCIA"
73	"RIO ARGONGENA TERESA DE COFRENTES"	"ARGONGE"	39,10269	-1,041	0,001	"Georeferenced at site location"	479	479	"SPAIN"		"TERESA DE COFRENTES"	"VALENCIA"
74	"RIO DE ALBENTOSA ALBENTOSA"	"ALBENTOS"	40,12242	-0,76379	0,001	"Georeferenced at site location"	875	875	"SPAIN"		"ALBENTOSA"	"TERUEL"
75	"RIO ARGONGENA TERESA DE COFRENTES"	"ARGONGE"	39,10269	-1,041	0,001	"Georeferenced at site location"	479	479	"SPAIN"		"TERESA DE COFRENTES"	"VALENCIA"
76	"RIO JUCAR"	"RIOJUCAR"	40,2787	-1,81448	0,100	"Nearest locality"			"SPAIN"		"HUELAMO"	"CUENCA"
77	"RIO TEJACILLOS"	"RTEJACIL"	40,0398	-1,64808	0,100	"Nearest locality"			"SPAIN"		"CANETE"	"CUENCA"
78	"TURIA RIVER"	"TURIARIV"	39,5667	-0,6167	0,100	"Nearest locality"			"SPAIN"		"VILAMARXANT"	"VALENCIA"
79	"VILLALPARDO, INIESTA, CUENCA, CASTILLE LA MANCHE"	"VILLALPA"	39,44493917	-1,522824376	0,001	"Georeferenced at site location"	510	510	"SPAIN"		"VILLALPARDO"	"CUENCA"
80	"CUEVA DEL BECERRO"	"BECERRO"	40,56551	-2,25705	0,010	"Nearest locality"	900	900	"SPAIN"		"CARRASCOSA"	"CUENCA"
81	"CAVE TUNNEL DELS SUMIDORS"	"SUMIDOCA"	38,8817	-0,68633	0,001	"Georeferenced at site location"	475	475	"SPAIN"		"VALLADA"	"VALENCIA"
82	"RIVIERE SOUTERRAINE DE LA CUEVA DEL TORNERO"	"TORNERO"	40,526088	-1,830085	0,001	"Georeferenced at site location"	1390	1390	"SPAIN"		"CHECA"	"GUADALAJARA"
83	"RIVIERE SOUTERRAINE DE LA CUEVA DEL TORNERO"	"TORNERO"	40,526088	-1,830085	0,001	"Georeferenced at site location"	1390	1390	"SPAIN"		"CHECA"	"GUADALAJARA"
84	"RIO GUADALAVIAR"	"GUADALAV"	40,4062	-1,44322	0,100	"Nearest locality"			"SPAIN"		"ALBARACIN"	"TERUEL"
85	"RIO DE LA SIERRA DE LA MANTANZA"	"RMANTANZ"	40,1994	-1,11224	0,100	"Nearest locality"			"SPAIN"		"CASCANTE DEL RIO"	"TERUEL"
86	"CUEVA DEL BECERRO"	"BECERRO"	40,56551	-2,25705	0,010	"Nearest locality"	900	900	"SPAIN"		"CARRASCOSA"	"CUENCA"
87	"WELL ENTRE LA CARRETERA N 420 TERUEL-CUENCA Y RIO CABRIEL"	"CABRIELW"	39,948	-1,7019	0,010	"Nearest locality"	1000	1000	"SPAIN"		"PAJARONCILLO"	"CUENCA"
88	"MANANTIAL CARCAMAS"	"CARCAMAS"	40,61112	-2,35112	0,010	"Nearest locality"	1050	1050	"SPAIN"		"EL RECUENCO"	"GUADALAJARA"
89	"NACIMINETO DEL RIO CUERVO"	"CUERVOSP"	40,420109	-1,880097	0,100	"Nearest locality"	1500	1500	"SPAIN"		"TRAGACETE"	"CUENCA"
90	"RIO ESCABAS"	"ESCABASR"	40,422994	-2,233672	0,100	"Nearest locality"	900	900	"SPAIN"		"PRIEGO"	"CUENCA"
91	"SPRING CERCA DEL PUENTE ALTO"	"GESTALGA"	39,59749	-0,85017	0,001	"Georeferenced at site location"	315	315	"SPAIN"		"GESTALGAR"	"VALENCIA"
92	"WELL AL LADO O.DE LAS CUEVAS LABRADAS"	"LABRADAW"	40,4537	-1,0525	0,001	"Georeferenced at site location"	969	969	"SPAIN"		"CUEVAS LABRADAS"	"TERUEL"
93	"RIO CABRIEL COFRENTES"	"RCABRICO"	39,24951	-1,09607	0,001	"Georeferenced at site location"	333	333	"SPAIN"		"CASAS DE ALCANCE"	"VALENCIA"
94	"RIO CABRIEL REQUENA"	"RCABRIRE"	39,33886	-1,34194	0,001	"Georeferenced at site location"	397	397	"SPAIN"		"VILLATOYA"	"ALBACETE"
95	"WELL ABOUT 100 M NO DEL RIO CANOLES"	"RCANOLEW"	38,9077	-0,67972	0,001	"Georeferenced at site location"	241	241	"SPAIN"		"VALLADA"	"VALENCIA"
96	"WELL 0.2 KM NO DEL RIO CANOLES"	"RICANOLE"	38,906229	-0,679907	0,100	"Nearest locality"	240	240	"SPAIN"		"VALLADA"	"VALENCIA"
97	"RIO TAJO"	"RIOTAJO"	40,69778	-2,58463	0,001	"Georeferenced at site location"	749	749	"SPAIN"		"TRILLO"	"GUADALAJARA"
98	"CUEVA DEL ROYO MALO"	"ROYOMALO"	40,4293	-2,1053	0,010	"Nearest locality"	1120	1120	"SPAIN"		"POYATOS"	"CUENCA"
99	"CAVE TUNNEL DELS SUMIDORS"	"SUMIDOCA"	38,8817	-0,68633	0,001	"Georeferenced at site location"	475	475	"SPAIN"		"VALLADA"	"VALENCIA"
100	"WELL SO. DE LA CARRETERA TRAGACETE-HUELAMO"	"TRAGACEW"	40,34682	-1,845	0,001	"Georeferenced at site location"	1275	1275	"SPAIN"		"TRAGACETE"	"CUENCA"
101	"FUENTE DE MARFIL VALDENOCEDA"	"MARFIL"	42,86092	-3,59298	0,001	"Georeferenced at site location"	591	591	"SPAIN"		"MERINDAD DE VALDEVIELSO"	"BURGOS"
102	"SOURCE RIO RUDRON MOLINO RASGABRAGAS"	"RUDRON"	42,7023	-3,91793	0,001	"Georeferenced at site location"	825	825	"SPAIN"		"BASCONCILLOS DEL TOZO"	"CASTILLA Y LEON"
103	"RIO GAYA SANTES CREUS"	"CREUS"	41,34883	1,36169	0,001	"Georeferenced at site location"	294	294	"SPAIN"		"SANTES CREUS"	"TARRAGONA"
104	"RIO GAYA SANTA PERPETUA DE GAYA"	"PERPETUA"	41,46251	1,39087	0,001	"Georeferenced at site location"	531	531	"SPAIN"		"SANTA PERPETUA DE GAYA"	"TARRAGONA"
105	"LA ALFRANCA"	"LAALFRAN"	41,59182	-0,76665	0,001	"Georeferenced at site location"	179	179	"SPAIN"		"LA ALFRANCA"	"ARAGON"
106	"LA ALFRANCA"	"LAALFRAN"	41,59182	-0,76665	0,001	"Georeferenced at site location"	179	179	"SPAIN"		"LA ALFRANCA"	"ARAGON"
107	"RIO AVION"	"RIOAVION"	41,5926	-3,0587	0,100	"Nearest locality"			"SPAIN"		"EL BURGO DE OSMA"	"SORIA"
108	"RIO GAYA"	"RIOGAYA"	41,3467	1,36233	0,100	"Nearest locality"			"SPAIN"		"SANTES CREUS"	"TARRAGONA"
109	"RIO UCERO"	"RIOUCERO"	41,6242	-3,05978	0,100	"Nearest locality"			"SPAIN"		"BARCEBALEJO"	"SORIA"
110	"SOURCE DU RIO LOBOS"	"RLOBOSSP"	41,5926	-3,0587	0,100	"Nearest locality"			"SPAIN"		"EL BURGO DE OSMA"	"SORIA"
111	"WELL ALONG THE RAILWAY BERLANGA DE DUERO"	"BERLANGW"	41,45965	-2,88155	0,100	"Nearest locality"			"SPAIN"		"BERLANGA DE DUERO"	"SORIA"
112	"HYPORHEIC ZONE MOLINO DEL DIABLO"	"DIABLOHY"	42,6975	-4,08057	0,001	"Georeferenced at site location"	958	958	"SPAIN"		"LA RIBA DE VALDELUCIO"	"BURGOS"
113	"RIO MATARRANA LA FRESNEDA"	"MATARRAN"	40,92886	0,10446	0,001	"Georeferenced at site location"	423	423	"SPAIN"		"LA FRESNEDA"	"TERUEL"
114	"RIU MONTSANT"	"MONTSANT"	41,284776	0,753272	0,100	"Nearest locality"	400	400	"SPAIN"		"MARGALEF"	"TARRAGONA"
115	"RIO CERNEJA"	"RCERNEJA"	43,04018	-3,48256	0,001	"Georeferenced at site location"	671	671	"SPAIN"		"EL RIBERO"	"BURGOS"
116	"RIO ALGAS"	"RIOALGAS"	40,90896	0,2478	0,001	"Georeferenced at site location"	477	477	"SPAIN"		"ARNES"	"TARRAGONA"
117	"RIO CINCA"	"RIOCINCA"	41,91144	0,1774	0,010	"Nearest locality"	250	250	"SPAIN"		"MONZON"	"HUESCA"
118	"RIO LUCIO O DE HOZ"	"RIOLUCIO"	42,72507	-4,11769	0,001	"Georeferenced at site location"	929	929	"SPAIN"		"QUINTANAS DE VALDELUCIO"	"BURGOS"
119	"RIO PISUERGA"	"RPISUERG"	41,98206	-4,38814	0,100	"Nearest locality"			"SPAIN"		"REINOSO DE CERRATO"	"PALENCIA"
120	"RIO TASTAVINS VALDERROBRES"	"RTASTAVI"	40,88931	0,10738	0,001	"Georeferenced at site location"	456	456	"SPAIN"		"VALDERROBRES"	"TERUEL"
121	"SPRING BORDE N. DEL RIO RUDRON"	"RUDRONSP"	42,6989	-3,92065	0,001	"Georeferenced at site location"	850	850	"SPAIN"		"BASCONCILLOS DEL TOZO"	"BURGOS"
122	"FUENTE SAGRERO"	"SAGREROF"	42,8006	-3,49292	0,001	"Georeferenced at site location"	650	650	"SPAIN"		"CERECEDA"	"BURGOS"
123	"RIO DEVA 3.5 KM S. DE PANES"	"RDEVADPA"	43,29372	-4,60881	0,001	"Georeferenced at site location"	45	45	"SPAIN"		"PANES"	"ASTURIA"
124	"RIO DEVA LAS ILCES"	"RDEVAILC"	43,11305	-4,76999	0,001	"Georeferenced at site location"	800	800	"SPAIN"		"LAS ILCES"	"CANTABRIA"
125	"RIO DEVA PENAMELLERA BAJA"	"RDEVAPEN"	43,33406	-4,55683	0,001	"Georeferenced at site location"	14	14	"SPAIN"		"NARGANES"	"ASTURIA"
126	"RIO DEVA PUENTE DE QUINTANA"	"RDEVAPUE"	43,15313	-4,68014	0,001	"Georeferenced at site location"	386	386	"SPAIN"		"CAMALENO"	"CANTABRIA"
127	"CUEVA DE VALPORQUERO VALPORQUEIRO DE TORIO"	"VALPORQU"	42,90665	-5,56286	0,001	"Georeferenced at site location"	1355	1355	"SPAIN"		"VEGACERVERA"	"CASTILLA Y LEON"
128	"CUEVA DE VALPORQUERO VALPORQUEIRO DE TORIO"	"VALPORQU"	42,90665	-5,56286	0,001	"Georeferenced at site location"	1355	1355	"SPAIN"		"VEGACERVERA"	"CASTILLA Y LEON"
129	"CUEVA DE VALPORQUERO VALPORQUEIRO DE TORIO"	"VALPORQU"	42,90665	-5,56286	0,001	"Georeferenced at site location"	1355	1355	"SPAIN"		"VEGACERVERA"	"CASTILLA Y LEON"
130	"CUEVA DE VALPORQUERO"	"VALPORCA"	42,8834	-5,53333	0,001	"Georeferenced at site location"	1035	1035	"SPAIN"		"VEGACERVERA"	"LEON"
131	"CUEVA DE VALPORQUERO"	"VALPORCA"	42,8834	-5,53333	0,001	"Georeferenced at site location"	1035	1035	"SPAIN"		"VEGACERVERA"	"LEON"
132	"WELL ALONG THE ROAD TO XAVINA 1 KM NE OF CAMARIFIAS"	"CAMARIFW"	43,142228	-9,175757	0,010	"Nearest locality"	5	5	"SPAIN"		"CAMARINAS"	"LA CORUNA"
133	"IDANHA A NOVA. WELL"	"IDANHAWE"	39,9167	-7,2333	0,100	"Nearest locality"			"PORTUGAL"		"IDANHA A NOVA"	"CASTELO BRANCO"
134	"RIO DEVA PANES"	"DEVAPANE"	43,31075	-4,6095	0,001	"Georeferenced at site location"	52	52	"SPAIN"		"PENAMELLERA BAJA"	"OVIEDO"
135	"RIO DEVA PANES"	"RDEVAPAN"	43,3674	-4,58163	0,100	"Nearest locality"			"SPAIN"		"PANES"	"ASTURIA"
136	"CAPTATED RESURGENCE AL LADO O. DE LA CARRETERA N 621 PANES-POTES. AL LADO S. DE LA HERMIDA"	"HERMIDSP"	43,25225	-4,61264	0,001	"Georeferenced at site location"	140	140	"SPAIN"		"LA HERMIDA"	"CANTABRIA"
137	"RIO BUYON PESAGUERO"	"RBUYONPE"	43,07837	-4,55403	0,001	"Georeferenced at site location"	529	529	"SPAIN"		"PESAGUERO"	"CANTABRIA"
138	"RIO DEVA 3.5 KM S. DE PANES"	"RDEVADPA"	43,29372	-4,60881	0,001	"Georeferenced at site location"	45	45	"SPAIN"		"PANES"	"ASTURIA"
139	"RIO DEVA PENAMELLERA BAJA"	"RDEVAPEN"	43,33406	-4,55683	0,001	"Georeferenced at site location"	14	14	"SPAIN"		"NARGANES"	"ASTURIA"
140	"PLUSIERUS PUITS A LECA DA PALMEIRA"	"LECPALMS"	41,1968	-8,69647	0,100	"Nearest locality"			"PORTUGAL"		"LECA DA PALMEIRA"	"PORTO"
141	"PUITS A MATOZINHOS"	"MATOZINH"	41,183	-8,67977	0,100	"Nearest locality"			"PORTUGAL"		"MATOZINHOS"	"PORTO"
142	"LECA DA PALMEIRA. WELL (90M)"	"PALMEIRA"	41,200271	-8,693317	0,100	"Nearest locality"			"PORTUGAL"		"LECA DA PALMEIRA"	"PORTO"
143	"AFLUENTE DEL RIO YUSO"	"AFLRYUSO"	43,04075	-4,84402	0,001	"Georeferenced at site location"	1200	1200	"SPAIN"		"PORTILLA DE LA REINA"	"LEON"
144	"CUEVA DE LAS. BOLUGAS"	"BOLUGASC"	43,31	-4,66719	0,001	"Georeferenced at site location"	150	150	"SPAIN"		"MIER"	"ASTURIA"
145	"CUEVA DE LA FOZ"	"FOZCAVE"	43,30458	-5,92337	0,010	"Nearest locality"	200	200	"SPAIN"		"PALOMAR"	"ASTURIA"
146	"WELL AT JUNCO LA ISAL"	"JUNCOLAW"	43,44083	-5,07361	0,100	"Nearest locality"			"SPAIN"		"RIBADESELLA"	"ASTURIA"
147	"CUEVA DE RALES"	"RALESCAV"	43,40994	-4,89842	0,001	"Georeferenced at site location"	83	83	"SPAIN"		"RALES"	"ASTURIA"
148	"RIO DEVA"	"RIODEVA"	43,33608	-4,54084	0,001	"Georeferenced at site location"	14	14	"SPAIN"		"BUELLES"	"ASTURIA"
149	"RIO SELLA UPSTREAM OF FRIES"	"RSELLAUF"	43,424253	-5,085959	0,001	"Georeferenced at site location"	12	12	"SPAIN"		"FRIES"	"ASTURIA"
150	"SPRING O. DE LA CARRETERA N 632 SANTANDER-BURGOS"	"TUBILLSP"	42,70701	-3,79989	0,001	"Georeferenced at site location"	784	784	"SPAIN"		"TUBILLA DEL AGUA"	"BURGOS"
151	"SPRING E. DE LA CARRETERA TRUBIA-PUERTO DE VENTANA (SC)"	"TUNONSP"	43,28469	-5,99637	0,010	"Nearest locality"	300	300	"SPAIN"		"TUNON"	"ASTURIA"
